inchi_key,canonical_smiles,name,vivo_dilirank,vivo_livertox,vivo_dailymed,vivo_pubmed,vivo_ctd,vivo_faers,vivo_chembl,vivo_marketed_clean_neg,has_dilirank,has_livertox,has_dm_boxed
WBXPDJSOTKVWSJ-UHFFFAOYSA-N,Nc1nc2[nH]cc(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,Pemetrexed disodium,Ambiguous-DILI-Concern,E,,,,weak,,,False,True,False
OIRFJRBSRORBCM-UHFFFAOYSA-N,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,IOPANOIC ACID,unknown,,,,,,1.0,1.0,False,False,False
NXTVQNIVUKXOIL-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NCl)cc1,tosylchloramide sodium,unknown,,,,medium,,,1.0,False,False,False
VZCYOOQTPOCHFL-OWOJBTEDSA-N,O=C(O)/C=C/C(=O)O,fumaric acid,unknown,,,,,,1.0,1.0,False,False,False
KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O,ISOPROPYL ALCOHOL,unknown,,boxed_hepatotox,,medium,,,1.0,False,False,True
MJVAVZPDRWSRRC-UHFFFAOYSA-N,CC1=CC(=O)c2ccccc2C1=O,MENADIONE,unknown,,,,strong,,1.0,1.0,False,False,False
TYNLGDBUJLVSMA-UHFFFAOYSA-N,CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O,diacerein,unknown,,,,,,1.0,1.0,False,False,False
TXCGAZHTZHNUAI-UHFFFAOYSA-N,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,clofibric acid,unknown,,,weak,strong,,,1.0,False,False,False
VHYCDWMUTMEGQY-UHFFFAOYSA-N,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,BISOPROLOL,Ambiguous-DILI-Concern,E,,,medium,medium,,0.0,False,True,False
WTHRRGMBUAHGNI-LCYNINFDSA-N,CC[C@H]1NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2CC(=O)[C@H](CS[C@@H]3CN4CCC3CC4)CN2C(=O)[C@H](Cc2ccc(N(C)C)cc2)N(C)C(=O)[C@@H]2CCCN2C1=O,QUINUPRISTIN,unknown,,,,,,1.0,1.0,False,False,False
DLFVBJFMPXGRIB-UHFFFAOYSA-N,CC(N)=O,Acetamide,unknown,,,medium,strong,,,1.0,False,False,False
LUZRJRNZXALNLM-UHFFFAOYSA-N,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,Dihydroergotamine mesylate,vNo-DILI-Concern,,,,weak,,,,True,False,False
VYWWNRMSAPEJLS-MDWYKHENSA-N,CCCC(=O)O[C@H]1[C@H](C)O[C@@H](O[C@H]2[C@H](N(C)C)[C@@H](O)[C@H](O[C@H]3[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@@H](O)[C@@H]3OC)O[C@@H]2C)C[C@@]1(C)OC(=O)CC,rokitamycin,unknown,,,,,,1.0,1.0,False,False,False
WQABCVAJNWAXTE-UHFFFAOYSA-N,OCC(S)CS,Dimercaprol,vNo-DILI-Concern,E,,weak,medium,,,,True,True,False
ZPMKQFOGINQDAM-UHFFFAOYSA-N,C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21,amitriptylinoxide,unknown,,,,weak,,,1.0,False,False,False
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,Cn1c(=O)c2[nH]cnc2n(C)c1=O,THEOPHYLLINE ANHYDROUS,vNo-DILI-Concern,E,,,medium,,,1.0,True,True,False
NUFNQYOELLVIPL-UHFFFAOYSA-N,O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],Acifluorfen,unknown,,,,strong,,,1.0,False,False,False
OJGDCBLYJGHCIH-UHFFFAOYSA-N,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,bromhexine,unknown,,,,,,1.0,1.0,False,False,False
HLVVITIHAZBPKB-UHFFFAOYSA-N,Nc1c2c(nc3ccccc13)CCCC2O,velnacrine,unknown,,,,,,1.0,1.0,False,False,False
PBJUNZJWGZTSKL-UHFFFAOYSA-N,Cc1ccsc1C(=CCCN1CCCC(C(=O)O)C1)c1sccc1C,Tiagabine hydrochloride,Ambiguous-DILI-Concern,E,,,weak,,,,False,True,False
