name,input,inchi_key,found,label,verdict,match,confidence,n_sources,conflict,db_name
,CC(NC1=O)=NC2=C1C=C(CN(C)C3=CC=C(C(N[C@H](C(O)=O)CCC(O)=O)=O)S3)C=C2,IVTVGDXNLFLDRM-HNNXBMFYSA-N,True,0,간독성 없음,exact,med,2,True,RALTITREXED
,COC1=C(C=C(C=C1)CC=C)OC,ZYEMGPIYFIJGTP-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,med,1,True,methyleugenol
,FC(F)(F)OC(C=C1)=CC=C1CO[C@@H]2COC3=NC([N+]([O-])=O)=CN3C2,ZLHZLMOSPGACSZ-NSHDSACASA-N,True,,vivo 라벨없음,exact,ambiguous,0,False,PRETOMANID
,CC1/C=C(\C(=O)OC2CC[N+]3(C2(C(=CC3)COC(=O)C1(C)OC(=O)C)O)C)/C=C,NEHWGXHBNGZJNY-PTNGSMBKSA-N,False,,not_in_db,,,,,
,O=S(C1=NC2=CC=C(OC)C=C2N1[Na])CC3=NC=C(C)C(OC)=C3C,SUBDBMMJDZJVOS-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,high,6,False,Esomeprazole sodium
,SCCS(=O)(O[Na])=O,ZNEWHQLOPFWXOF-UHFFFAOYSA-N,True,,vivo 라벨없음,exact,ambiguous,0,False,MESNA
,N=C(C1=CC=C(C2=CC=C(C3=CC=C(C(NOC)=N)C=C3)O2)C=C1)NOC,UKOQVLAXCBRRGH-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,med,2,True,Pafuramidine
,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C2C1(C)O)C)C(=O)O,KQTSQSVDAUIWJH-UHFFFAOYSA-N,False,,not_in_db,,,,,
,O=C(C)NC1=CC=C(OC(C)=O)C=C1,UJAOSPFULOFZRR-UHFFFAOYSA-N,True,,vivo 라벨없음,exact,no_signal,0,False,
,OCC([C@H]([C@@H]([C@@H](CO)O)O[C@H]1[C@@H]([C@H]([C@H]([C@@H](CO)O1)O)O)O)O)=O,PFCRQPBOOFTZGQ-VZXVHDRGSA-N,False,,not_in_db,,,,,
,O=C(N([C@@]1([H])[C@H](O)[C@H](O)[C@@]([H])(COC(C(C)C)=O)O1)C=C2)NC2=NO,HTNPEHXGEKVIHG-QCNRFFRDSA-N,True,0,간독성 없음,exact,med,2,False,EIDD-1931
,O=S(C1=CC=C(N)C=C1)(N([Na])C2=NC=CC=N2)=O,SEEPANYCNGTZFQ-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,high,3,True,Sulfadiazine
,O=C(C(C1=O)=C(O)[C@@H](N(C)C)[C@]2([H])C[C@]3([H])CC4=C(C(C3=C(O)[C@@]21O)=O)C(O)=C(NC(CNC(C)(C)C)=O)C=C4N(C)C)N,FPZLLRFZJZRHSY-HJYUBDRYSA-N,True,1,간독성 있음 ⚠,exact,med,2,True,TIGECYCLINE
,CCC1CC(=C)C(C(=O)OC/C/2=C/CN(CC[C@H](C2=O)OC1=O)C)(C)O,HISUXXSSPPIDKV-MTKURSTASA-N,False,,not_in_db,,,,,
,C[C@@H]1[C@@H]([C@@](C(=O)OC[C@@H]2CCN3[C@H]2[C@@H](CC3)OC1=O)(C)O)C,GXAPLLMJHZBIPX-VZYPABODSA-N,False,,not_in_db,,,,,
,C=CCC1=CC2=C(C=C1)OCO2,ZMQAAUBTXCXRIC-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,med,1,True,Safrole
,OCC(OCN1C=NC2=C1N=C(N)N=C2O[Na])CO,IRSCQMHQWWYFCW-UHFFFAOYSA-N,True,,vivo 라벨없음,exact,ambiguous,0,False,GANCICLOVIR SODIUM
,O=S(C1=NC2=CC=CC=C2N1[Na])CC3=NC=CC(OCCCOC)=C3C,YREYEVIYCVEVJK-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,high,3,False,Rabeprazole sodium
,CC(C(C)(C)C)N/C(NC1=CC=NC=C1)=N\C#N,IVVNZDGDKPTYHK-UHFFFAOYSA-N,True,,vivo 라벨없음,exact,med,3,True,PINACIDIL ANHYDROUS
,O=C(C(F)(F)CCCC)CC[C@@H]([C@@H](C1)O)[C@H](C1=O)CCCCCCC(O)=O,DBVFKLAGQHYVGQ-BFYDXBDKSA-N,False,,not_in_db,,,,,
,O=C(NCC(O)C1=CC=C(OC)C=C1)/C=C/C2=CC=CC=C2,QRFDENJATPJOKG-KPKJPENVSA-N,False,,not_in_db,,,,,
,COC1=CC=C(C=C1)CC=C,ZFMSMUAANRJZFM-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,med,1,True,estragole
,O=C1N=C(O[Na])NC1(C2=CC=CC=C2)C3=CC=CC=C3,CXOFVDLJLONNDW-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,high,5,True,Phenytoin
,C[C@@H]1O[C@@H]1P(O[Na])(O[Na])=O,YMDXZJFXQJVXBF-STHAYSLISA-N,True,0,간독성 없음,exact,med,2,False,FOSFOMYCIN
,NC(C1=C2N(N=C1C3=CC=C(OC4=CC=CC=C4)C=C3)[C@H](C5CCN(C(C=C)=O)CC5)CCN2)=O,RNOAOAWBMHREKO-QFIPXVFZSA-N,True,1,간독성 있음 ⚠,skeleton,low,2,False,Zanubrutinib
,O=C(OC1CCN(CCN(C(C2=CC=C(CN3CCC(C(N)=O)CC3)C=C2)=O)C)CC1)NC4=CC=CC=C4C5=CC=CC=C5,FYDWDCIFZSGNBU-UHFFFAOYSA-N,True,0,간독성 없음,exact,high,3,False,REVEFENACIN
,OC(P(O)(O[Na])=O)(P(O)(O[Na])=O)C,DBVJJBKOTRCVKF-UHFFFAOYSA-N,True,0,간독성 없음,exact,low,3,False,ETIDRONIC ACID
,O=S(C1=C(Cl)C=C(C2=C1)N=CNS2(=O)=O)(N)=O,JBMKAUGHUNFTOL-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,med,1,False,Chlorothiazide
,CC1=C(CSCC/N=C(NC)/NC#N)NC=N1,AQIXAKUUQRKLND-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,high,4,False,Cimetidine
,O=C1NC=C(F)C(N)=N1,XRECTZIEBJDKEO-UHFFFAOYSA-N,True,,vivo 라벨없음,exact,ambiguous,0,False,Flucytosine
,O=C([N-]C1=C[N+](N2CCOCC2)=NO1)OCC,IUVFAERPPHEQSB-UHFFFAOYSA-N,True,,vivo 라벨없음,exact,no_signal,0,False,
,O=C(N1C)N(C)C2=C(N=CN2)C1=O,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,True,0,간독성 없음,exact,low,4,False,THEOPHYLLINE ANHYDROUS
,CN([C@H]1C[C@@H](NS(CCC)(=O)=O)C1)C2=C3C(NC=C3)=NC=N2,IUEWXNHSKRWHDY-PHIMTYICSA-N,True,0,간독성 없음,exact,med,2,False,ABROCITINIB
,NC(NC(NCCC1=CC=CC=C1)=N)=N,ICFJFFQQTFMIBG-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,med,1,False,Phenformin
,CC1=CC(=O)C(=C(C)C)CC1,HKZQJZIFODOLFR-UHFFFAOYSA-N,False,,not_in_db,,,,,
,CC1CCC2=C(C=CC=N2)C(=O)OCC3(C4C(C(C5(C(C(C(C(C5(C4OC(=O)C)O3)(C)O)OC1=O)OC(=O)C6=CC=CC=C6)OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)C,ZOCKGJZEUVPPPI-UHFFFAOYSA-N,False,,not_in_db,,,,,
,O=C(NC1CCN(CC2CC=CCC2)CC1)C3=CC([N+]([O-])=O)=C(N)C=C3OCC,ZDLBNXXKDMLZMF-UHFFFAOYSA-N,True,0,간독성 없음,exact,med,2,False,cinitapride
