inchi_key,canonical_smiles,name,manual_label,source,reason
VXKHXGOKWPXYNA-YDFDUYJKSA-N,CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,CHEMBL4068871,,non_drug,ChEMBL ID only
CIGQQQTZOIDQQR-BGSOWLKRSA-N,C[C@]12C=C[C@@]3(CC[C@@H]4[C@@](C)(CO)CCC[C@@]4(C)[C@@H]3CC1)C2,CHEMBL3589110,,non_drug,ChEMBL ID only
SZBULDQSDUXAPJ-UHFFFAOYSA-N,OCC1OC(n2cnc3c(NC4CCCCC4)ncnc32)C(O)C1O,N(6)-cyclohexyladenosine,,non_drug,IUPAC chemistry name
DUSHUSLJJMDGTE-ZJPMUUANSA-N,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,CHEMBL142130,,non_drug,ChEMBL ID only
NWJMUYNQRYAJIB-KLISCUKASA-N,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)/C(=C/c3ccc(Cl)cc3)C[C@@H]12,CHEMBL4463259,,non_drug,ChEMBL ID only
SYUHGPGVQRZVTB-UHFFFAOYSA-N,[Rn],Radon,,non_drug,industrial/lab/non-drug chemical
KHBXRZGALJGBPA-UHFFFAOYSA-N,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C(O2)OC2OC21,"aflatoxin B1-2,3-oxide",,non_drug,IUPAC chemistry name
MJQUEDHRCUIRLF-TVIXENOKSA-N,CCC/C=C/C=C/C(=O)O[C@H]1/C(=C/C(=O)OC)C[C@H]2C[C@H]([C@@H](C)O)OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(C)=O)C(C)(C)[C@](O)(C[C@@H]4C/C(=C/C(=O)OC)C[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O3,CHEMBL449158,,non_drug,ChEMBL ID only
SRPFDFNVILUDAI-UHFFFAOYSA-N,O=C(O)CCCOc1cccc(CCCCCCOc2cc(-c3ccsc3)cc(-c3ccc4c(c3)OCO4)c2)c1CCC(=O)O,CHEMBL1098560,,non_drug,ChEMBL ID only
YDXRLMMGARHIIC-UHFFFAOYSA-N,OC1C=Cc2c(cc3ccc4cccc5ccc2c3c45)C1O,"benzo(a)pyrene 7,8-dihydrodiol",,non_drug,IUPAC chemistry name
IJLXLZGJDSJGIQ-UHFFFAOYSA-N,CCC1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1C(=O)CO,"16 alpha-ethyl-21-hydroxy-19-nor-4-pregnene-3,20-dione",,non_drug,IUPAC chemistry name
ZBQFYVZOWLAJKN-UHFFFAOYSA-N,FCCCCCF,CHEMBL1697728,,non_drug,ChEMBL ID only
UAUHEPXILIZYCU-UUEXUKNBSA-N,CCC[N+]12[C@H](O)[C@@H](CC)[C@@H]3C[C@H]1[C@@H]1N(C)c4ccccc4[C@]14C[C@H]2C3[C@H]4O,CHEMBL3137688,,non_drug,ChEMBL ID only
YDNKGFDKKRUKPY-UHFFFAOYSA-N,CCCCCCCCCCCCCC=CC(O)C(CO)NC(=O)CCCCCCCCCCCCCCC,N-palmitoylsphingosine,,non_drug,industrial/lab/non-drug chemical
IAAPVNQZSBLWKH-UHFFFAOYSA-N,CC=CC=CC=CC(=O)O,"octa-2,4,6-trienoic acid",,non_drug,IUPAC chemistry name
PZFZLRNAOHUQPH-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)NC(CSCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC)C(=O)O,"2,3-bis(palmitoyloxy)-2-propyl-1-palmitoylcysteine",,non_drug,IUPAC chemistry name
BOGAHAUMRNNWPE-UHFFFAOYSA-N,COc1cc(CCc2ccc(Nc3c4c(nc5ccccc35)CCCC4)cc2)cc(OC)c1,CHEMBL4093419,,non_drug,ChEMBL ID only
COBXSLRIXGQVGS-UHFFFAOYSA-N,O=c1[nH]c2ccc(-c3c(Cl)cccc3OC(F)(F)F)cc2[nH]1,CHEMBL4214902,,non_drug,ChEMBL ID only
PCXMKBOWWVXEDT-UHFFFAOYSA-N,CC(C(=O)Nc1cc(-c2ccccc2)nn1-c1ccccc1)N(C)C,CHEMBL2105587,,non_drug,ChEMBL ID only
WDXRGPWQVHZTQJ-UHFFFAOYSA-N,CC=C1C(=O)CC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,"pregna-4,17-diene-3,16-dione",,non_drug,IUPAC chemistry name
XIFVTSIIYVGRHJ-UHFFFAOYSA-N,CNc1nc(N(C)C)nc(N(C)C)n1,CHEMBL457723,,non_drug,ChEMBL ID only
UKHQRARQNZOXRL-UHFFFAOYSA-N,C[SnH](C)C,trimethyltin,,non_drug,industrial/lab/non-drug chemical
GIMNAEMRNXUAQP-UHFFFAOYSA-N,Cc1ncc(-c2csc(N=C(N)N)n2)[nH]1,CHEMBL70209,,non_drug,ChEMBL ID only
YYVYAPXYZVYDHN-UHFFFAOYSA-N,O=C1C(=O)c2ccccc2-c2ccccc21,"9,10-phenanthrenequinone",,non_drug,IUPAC chemistry name
JETQIUPBHQNHNZ-OAYJICASSA-N,CC1(C)S[C@@H]2[C@H](NC(=O)C(c3ccccc3)S(=O)(=O)O)C(=O)N2[C@H]1C(=O)O,CHEMBL1256734,,non_drug,ChEMBL ID only
YWXYYJSYQOXTPL-KVTDHHQDSA-N,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@H]2O,CHEMBL4076736,,non_drug,ChEMBL ID only
ASXGJMSKWNBENU-UHFFFAOYSA-N,CCCN(CCC)C1CCc2cccc(O)c2C1,8-Hydroxy-2-(di-n-propylamino)tetralin,,non_drug,IUPAC chemistry name
ACTRVOBWPAIOHC-XIXRPRMCSA-N,O=C(O)[C@@H](S)[C@@H](S)C(=O)O,CHEMBL1201073,,non_drug,ChEMBL ID only
IFFPICMESYHZPQ-UHFFFAOYSA-N,CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1,CHEMBL24072,,non_drug,ChEMBL ID only
