inchi_key,canonical_smiles,name,vivo_dilirank,vivo_livertox,vivo_dailymed,vivo_pubmed,vivo_ctd,vivo_chembl,vivo_faers
DEZFNHCVIZBHBI-UHFFFAOYSA-N,CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c(C(=O)C=Cc4ccccc4)c2O)OC(C)(C)C=C3)c1O,rottlerin,,,,,medium,,
UJCHIZDEQZMODR-UHFFFAOYSA-N,CC(=O)NC(CS)C(N)=O,N-Acetylcysteinamide,,,,,medium,,
ZPTSRWNMMWXEHX-UHFFFAOYSA-N,C=C1CCC2C(C)(C)CCCC2(C)C1CO,albicanol,,,,,medium,,
MUPFEKGTMRGPLJ-UHFFFAOYSA-N,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,Raffinose,,,,,weak,,
DRTQHJPVMGBUCF-UHFFFAOYSA-N,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,Uridine,,,,,weak,,
QDLHCMPXEPAAMD-UHFFFAOYSA-N,COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O,Wortmannin,,,,,medium,,
WJSYAZTYXSDFEV-UHFFFAOYSA-N,NC(=O)c1ccccc1S(=O)(=O)NCC(=O)Nc1ccc(O)cc1,CHEMBL4759922,,,,,,1.0,
KPTYXJLOWLVCMU-UHFFFAOYSA-N,OC1c2ccc3c(ccc4ccccc43)c2C2OC2C1O,"chrysene,2-diol-3,4-epoxide-1",,,,,weak,,
PYOUAIQXJALPKW-UHFFFAOYSA-N,Cc1ccc2[nH]cc(CCN)c2c1,5-methyltryptamine,,,,,weak,,
GOJJWDOZNKBUSR-UHFFFAOYSA-N,NS(=O)(=O)OCCCCCCCOS(N)(=O)=O,CHEMBL182440,,,,,,1.0,
CPEUVMUXAHMANV-UHFFFAOYSA-N,COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1,flubendazole,unknown,,,,,1.0,
JTVLYHXMPUSZIT-VKAVYKQESA-N,CCCCN/C(=C1/C=C(Cl)C=CC1=O)c1ccccc1Cl,CHEMBL3137681,,,,,,1.0,
IBIPGYWNOBGEMH-UHFFFAOYSA-N,CC(=O)OCC1=CC2OC(=O)C3=COC(OC4OC(CO)C(O)C(O)C4O)C1C32,asperuloside,,,,,medium,,
