inchi_key,canonical_smiles,name
PGERTGWKXFAEFR-UHFFFAOYSA-N,O=C1C=CC2=C3c4cc(O)c(O)cc4CC3(O)COC2=C1,brazilein
FBSFWRHWHYMIOG-UHFFFAOYSA-N,COC(=O)c1cc(O)c(O)c(O)c1,methyl gallate
JDIORNFCMMYMLF-UHFFFAOYSA-N,COc1cc(O)c2c(=O)c3c(O)ccc(O)c3oc2c1,bellidifolin
XZYXCQXTKOYHGK-UHFFFAOYSA-N,Cn1c(O)c(C2=c3ccccc3=NC2=O)c2ccccc21,N-methylisoindigotin
WAAPEIZFCHNLKK-UHFFFAOYSA-N,NC(=O)C1CC2(NC(=O)NC2=O)c2cc(F)ccc2O1,fidarestat
XJMPAUZQVRGFRE-UHFFFAOYSA-N,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C1C=CC2(O)CO,gardenoside
YYFOFDHQVIODOQ-UHFFFAOYSA-O,COc1cc2c(cc1O)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2,columbamine
JOVXNHIPEIWDDU-UHFFFAOYSA-N,C[N+](C)(C)CCC(=O)c1ccc2ccccc2c1,2-naphthoylethyltrimethylammonium
NDVASEGYNIMXJL-UHFFFAOYSA-N,C=C1CCC2(C(C)C)CC12,sabinene
XZTUSOXSLKTKJQ-UHFFFAOYSA-N,CC12CCC(O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,Digitoxigenin
GRTOGORTSDXSFK-UHFFFAOYSA-N,COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5ccccc45)C3CC12,raubasine
RBRPTFMVULVGIC-UHFFFAOYSA-N,C=C1C(=O)OC2CC(C)C(C=CC(C)=O)=CCC12,xanthatin
LFYJSSARVMHQJB-UHFFFAOYSA-N,C=CC(C)(C=Cc1ccc(O)cc1)CCC=C(C)C,bakuchiol
VKOSQMWSWLZQPA-UHFFFAOYSA-N,COc1cc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)ccc1O,cirsilineol
QRMPRVXWPCLVNI-UHFFFAOYSA-N,C=C1CC2(O)OC3(CC2C(C)C)C(C)CCC13,curcumol
DNVZSDMHLPWULM-UHFFFAOYSA-N,CC(=O)N(C)C(C)C1CCC2C3CC=C4CC(N(C)C)CCC4(C)C3CCC21C,Steroids
GBJKHDVRXAVITG-UHFFFAOYSA-N,CC(CC(O)C1OC1(C)C)C1=C2CC(O)C3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C2(C)CC1,alisol B
VRXFDHAGFYWGHT-UHFFFAOYSA-N,CCNCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,desethylamodiaquine
HGJXAVROWQLCTP-UHFFFAOYSA-N,O=C(O)CC1C(=O)OC2C3COC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC2C(OC(=O)c2cc(O)c(O)c4c2C1C(O)C(=O)O4)C(OC(=O)c1cc(O)c(O)c(O)c1)O3,chebulagic acid
MYEJFUXQJGHEQK-UHFFFAOYSA-N,CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O,Proscillaridin
SNTRKUOVAPUGAY-UHFFFAOYSA-N,CP(=O)(F)OC1CCCCC1,cyclohexyl methylphosphonofluoridate
PHYFQTYBJUILEZ-UHFFFAOYSA-N,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,Triolein
BELPJCDYWUCHKF-UHFFFAOYSA-N,CC(=O)OCN=[N+](C)[O-],Methylazoxymethanol Acetate
MKGIQRNAGSSHRV-UHFFFAOYSA-N,C[N+]1(C)CCN(c2ccccc2)CC1,Dimethylphenylpiperazinium Iodide
DNJVYWXIDISQRD-UHFFFAOYSA-N,CC12CCc3occc3C1CCC13CC(CCC12)C(O)(CO)C3,cafestol
XQWFHGOIUZFQPJ-UHFFFAOYSA-N,O=C(C=Cc1ccc(O)cc1)c1ccc(OC2OC(CO)C(O)C(O)C2O)cc1O,neoisoliquiritin
OHCQJHSOBUTRHG-UHFFFAOYSA-N,C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C,Colforsin
CLJAWWBXVXWHFD-UHFFFAOYSA-N,COC(=O)C(C)(C)Oc1ccc(-c2ccc(Cl)cc2)cc1,Clofenapate
